Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,45300.000000,47300.000000,45100.000000,45600.000000,45600.000000,226973
2019-01-03,46300.000000,47750.000000,45750.000000,46450.000000,46450.000000,220751
2019-01-04,46550.000000,47550.000000,45800.000000,47400.000000,47400.000000,119393
2019-01-07,49350.000000,52400.000000,49350.000000,51500.000000,51500.000000,506776
2019-01-08,52100.000000,52800.000000,50600.000000,51300.000000,51300.000000,216930
2019-01-09,51100.000000,53900.000000,50300.000000,53400.000000,53400.000000,266000
2019-01-10,53400.000000,53700.000000,52100.000000,52700.000000,52700.000000,128588
2019-01-11,54100.000000,55200.000000,52500.000000,53300.000000,53300.000000,200573
2019-01-14,53600.000000,54900.000000,52100.000000,52600.000000,52600.000000,239218
2019-01-15,52700.000000,54400.000000,51500.000000,53300.000000,53300.000000,219048
2019-01-16,54000.000000,55100.000000,53200.000000,53500.000000,53500.000000,231304
2019-01-17,54200.000000,54200.000000,49550.000000,50400.000000,50400.000000,420701
2019-01-18,50100.000000,51000.000000,49250.000000,50800.000000,50800.000000,129704
2019-01-21,51400.000000,51500.000000,48700.000000,48950.000000,48950.000000,269331
2019-01-22,49000.000000,49450.000000,48300.000000,49250.000000,49250.000000,127783
2019-01-23,49100.000000,51100.000000,48550.000000,50500.000000,50500.000000,139215
2019-01-24,51000.000000,51100.000000,49500.000000,49800.000000,49800.000000,143423
2019-01-25,49800.000000,50200.000000,49450.000000,49450.000000,49450.000000,140177
2019-01-28,50200.000000,50500.000000,49550.000000,49750.000000,49750.000000,156791
2019-01-29,49850.000000,49900.000000,48200.000000,48850.000000,48850.000000,177958
2019-01-30,48800.000000,49500.000000,48400.000000,49000.000000,49000.000000,114223
2019-01-31,49400.000000,49900.000000,48800.000000,49300.000000,49300.000000,112376
2019-02-01,49350.000000,50200.000000,49200.000000,49600.000000,49600.000000,114042
2019-02-07,49800.000000,50900.000000,49500.000000,50600.000000,50600.000000,162055
2019-02-08,50200.000000,50200.000000,49250.000000,49600.000000,49600.000000,118710
2019-02-11,49550.000000,49850.000000,49250.000000,49300.000000,49300.000000,111863
2019-02-12,49400.000000,49650.000000,48500.000000,48600.000000,48600.000000,144449
2019-02-13,48900.000000,49050.000000,48200.000000,48900.000000,48900.000000,111170
2019-02-14,49200.000000,49800.000000,48700.000000,49550.000000,49550.000000,111035
2019-02-15,49400.000000,51600.000000,49000.000000,50900.000000,50900.000000,353841
2019-02-18,52300.000000,52300.000000,50800.000000,51300.000000,51300.000000,252903
2019-02-19,51000.000000,51300.000000,50100.000000,50900.000000,50900.000000,184651
2019-02-20,50700.000000,52700.000000,50400.000000,50600.000000,50600.000000,425038
2019-02-21,50700.000000,51200.000000,50100.000000,50500.000000,50500.000000,103900
2019-02-22,50800.000000,51100.000000,49800.000000,49900.000000,49900.000000,134473
2019-02-25,50000.000000,51300.000000,49850.000000,51200.000000,51200.000000,142234
2019-02-26,51300.000000,51500.000000,50300.000000,50600.000000,50600.000000,115754
2019-02-27,50500.000000,50700.000000,49800.000000,50400.000000,50400.000000,124661
2019-02-28,50200.000000,53300.000000,49600.000000,51500.000000,51500.000000,513613
2019-03-04,53500.000000,54300.000000,52000.000000,52300.000000,52300.000000,433667
2019-03-05,52400.000000,53100.000000,50500.000000,51000.000000,51000.000000,195945
2019-03-06,51500.000000,53800.000000,51200.000000,53800.000000,53800.000000,410220
2019-03-07,53500.000000,55200.000000,52600.000000,53600.000000,53600.000000,373577
2019-03-08,53100.000000,56400.000000,52700.000000,55900.000000,55900.000000,412053
2019-03-11,56300.000000,57400.000000,54900.000000,56000.000000,56000.000000,383999
2019-03-12,56000.000000,57600.000000,55200.000000,57100.000000,57100.000000,332236
2019-03-13,57100.000000,57100.000000,53900.000000,54300.000000,54300.000000,284376
2019-03-14,54600.000000,55000.000000,52100.000000,52200.000000,52200.000000,344483
2019-03-15,52500.000000,52500.000000,51000.000000,52200.000000,52200.000000,194532
2019-03-18,52200.000000,52700.000000,51200.000000,52000.000000,52000.000000,167428
2019-03-19,52000.000000,52000.000000,50600.000000,50900.000000,50900.000000,157908
2019-03-20,51100.000000,51400.000000,49400.000000,50400.000000,50400.000000,220071
2019-03-21,50600.000000,52400.000000,50500.000000,51000.000000,51000.000000,264449
2019-03-22,51300.000000,51700.000000,49750.000000,50000.000000,50000.000000,171016
2019-03-25,49200.000000,49850.000000,49050.000000,49550.000000,49550.000000,117424
2019-03-26,49900.000000,50000.000000,49400.000000,49550.000000,49550.000000,80415
2019-03-27,49750.000000,49800.000000,48000.000000,48200.000000,48200.000000,174515
